ID_estacion,Fecha,pH,Temp,TDS,Alc_total,Ca,Cl,Cond,Dureza,K,Mg,Na,CHL_A,C_totales,NNO3,OD,ODPCT,Transp,Turb
TAG,12/04/2022,8.35,29.6,96,56,7.92,6.2,137,36.2,0.64,4,6.74,8.4,137,0.019,8.35,110,2,1
TAG,11/05/2022,8.43,30.2,101,58,8.1,6.3,133,36.6,0.69,3.98,6.96,6.2,133,0.01,8.89,118,3,0.9
TAG,07/06/2022,8.09,29.4,90,51,7.91,6.2,132,34.5,0.62,3.59,5.43,7.6,132,0.01,7.93,104,2,0.9
TAG,12/07/2022,7.92,29,89,49,7.97,5.7,124,34.5,0.53,3.54,6.17,7.1,124,0.016,7.78,101,2.5,1
TAG,09/08/2022,8.48,29.4,72,47,7.42,5.6,122,30,0.69,2.78,5.68,10.3,122,0.047,8.91,117,2.5,0.9
TAG,14/09/2022,8.4,29.9,60,50,7.5,4.7,124,32.1,0.54,3.24,5.89,9.1,124,0.026,8.9,118,2,1.2
TAG,12/10/2022,7.92,29.2,89,50,6.62,4.9,119,31.2,0.54,3.56,5.46,14.9,119,0.012,7.45,97,1.5,1.9
TAG,08/11/2022,7.48,28.5,65,50,6.69,4.7,128,30.7,0.66,3.4,5.81,16.9,128,0.01,6.42,83,1.5,2.4
TAG,06/12/2022,7.87,29.3,101,53,7.92,4.9,127,36.5,0.56,4.07,5.65,13.4,127,0.01,7.39,97,2,1.1
DCH,26/01/2022,8,28.3,84,56,8.16,5.7,130,36.3,0.58,3.85,7.26,6,2400,0.022,7.17,92,2.5,0.9
DCH,09/02/2022,7.79,28.5,100,55,8.71,5.8,131,37.3,0.71,3.78,3.38,11.8,2300,0.022,6.51,84,3,0.9
DCH,22/03/2022,7.37,28.7,103,52,8.59,6.8,234,38.2,0.65,4.07,6.53,4.9,3000,0.047,6.78,88,2,2.4
DCH,12/04/2022,7.74,28.6,86,50,6.85,7.3,125,32.1,0.63,3.64,6.68,7.9,1400,0.052,7.69,99,1.5,4.7
DCH,11/05/2022,7.29,28.8,103,51,6.69,6.4,106,31.7,0.67,3.64,6.68,7.7,8700,0.028,7.8,101,0.8,6.7
DCH,12/06/2022,8.29,25,83,47,7.81,5.5,120,38.6,0.46,4.64,5.87,10.2,1600,0.017,8.59,112,1.5,2.2
DCH,,,,,,,,,,,,,,,,,,,
DCH,09/08/2022,8.33,29.3,81,46,6.98,5.2,121,34.3,0.65,4.1,5.58,8.1,740,0.043,8.27,108,2,1.8
DCH,14/09/2022,8.55,29.9,79,50,7.68,4.5,125,33.3,0.56,3.43,5.75,14,560,0.05,8.98,119,1.8,2.1
